Nome: ROSARIO OESTE
Codigo Estacao: A944
Latitude: -14.82888888
Longitude: -56.44194444
Altitude: 195
Situacao: Operante
Data Inicial: 2019-05-29
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-11-19;5.6;26.1;null;.9;
2019-11-20;0;27.4;null;1.3;
2019-11-21;0;28.4;null;1.5;
2019-11-22;31.2;26.8;null;1.3;
2019-11-23;8.6;25.8;null;1.2;
2019-11-24;6.4;27.7;null;1;
2019-11-25;0;28.9;null;1.4;
2019-11-26;.2;28.7;null;1.5;
2019-11-27;4.2;27.7;null;1.7;
2019-11-28;6;26.4;null;1;
2019-11-29;0;26.8;null;.9;
2019-11-30;0;27.3;null;1;
2019-12-01;0;26.4;null;.9;
2019-12-02;11.6;26;null;1;
2019-12-03;12.4;26.1;null;1;
2019-12-04;14.4;26.7;null;.9;
2019-12-05;0;25.6;null;1;
2019-12-06;7.8;26;null;.9;
2019-12-07;0;26.2;null;.9;
2019-12-08;7.2;27;null;.9;
2019-12-09;0;27.4;null;1;
2019-12-10;80;25.3;null;1.3;
2019-12-11;.2;27.2;null;1.2;
2019-12-12;0;27.4;null;1.4;
2019-12-13;1.6;24.8;null;1;
2019-12-14;2.2;26;null;1.1;
2019-12-15;.4;27.1;null;.9;
2019-12-16;0;25.5;null;.9;
2019-12-17;7.6;25.9;null;.9;
2019-12-18;0;26.4;null;.8;
2019-12-19;0;25.7;null;.9;
2019-12-20;2.8;26.8;null;1.1;
2019-12-21;2;25.7;null;.8;
2019-12-22;.4;24.3;null;.8;
2019-12-23;3;26.9;null;.8;
2019-12-24;0;26.9;null;.9;
2019-12-25;4.2;25.7;null;1.3;
2019-12-26;0;27.6;null;1.2;
2019-12-27;0;27.8;null;1;
2019-12-28;0;25.8;null;1.1;
2019-12-29;43.4;26.5;null;.9;
2019-12-30;0;26.7;null;.9;
2019-12-31;.8;27;null;1.2;
2020-01-01;0;26.5;null;.9;
2020-01-02;4.8;27.1;null;1.3;
2020-01-03;.8;26.2;null;.9;
2020-01-04;62;27.1;null;1.1;
2020-01-05;0;27.3;null;1.3;
2020-01-06;2;27.1;null;1.8;
2020-01-07;30.6;27.1;null;1.3;
2020-01-08;11.4;26.7;null;1.4;
2020-01-09;0;27;null;1.1;
2020-01-10;.4;26.6;null;.8;
2020-01-11;47.8;26.8;null;1;
2020-01-12;0;27.7;null;1;
2020-01-13;0;28;null;1.1;
2020-01-14;0;27.9;null;.8;
2020-01-15;0;28.4;null;.9;
2020-01-16;0;26.8;null;1.3;
2020-01-17;59.6;26.3;null;.7;
2020-01-18;6.2;27.6;null;1.2;
2020-01-19;0;27.8;null;1;
2020-01-20;1.8;27.5;null;1;
2020-01-21;0;28.1;null;1.3;
2020-01-22;1.4;27.5;null;1.5;
2020-01-23;7.6;27.5;null;1.5;
2020-01-24;0;28;null;1.2;
2020-01-25;0;28.1;null;1;
2020-01-26;0;null;null;.9;
2020-01-27;null;null;null;null;
2020-01-28;null;null;null;null;
2020-01-29;null;null;null;null;
2020-01-30;null;null;null;null;
2020-01-31;null;null;null;null;
2020-02-01;null;null;null;null;
2020-02-02;null;null;null;null;
2020-02-03;null;null;null;null;
2020-02-04;null;null;null;null;
2020-02-05;null;null;null;null;
2020-02-06;null;null;null;null;
2020-02-07;null;null;null;null;
2020-02-08;null;null;null;null;
2020-02-09;null;null;null;null;
2020-02-10;null;null;null;null;
2020-02-11;null;null;null;null;
2020-02-12;null;null;null;null;
2020-02-13;null;null;null;null;
2020-02-14;null;null;null;null;
2020-02-15;null;null;null;null;
2020-02-16;null;null;null;null;
2020-02-17;null;null;null;null;
2020-02-18;null;null;null;null;
2020-02-19;null;null;null;null;
2020-02-20;null;null;null;null;
2020-02-21;null;null;null;null;
2020-02-22;null;null;null;null;
2020-02-23;null;null;null;null;
2020-02-24;null;null;null;null;
2020-02-25;null;null;null;null;
2020-02-26;null;null;null;null;
2020-02-27;null;null;null;null;
2020-02-28;null;null;null;null;
2020-02-29;null;null;null;null;
2020-03-01;null;null;null;null;
2020-03-02;null;null;null;null;
2020-03-03;null;null;null;null;
2020-03-04;null;null;null;null;
2020-03-05;null;null;null;null;
2020-03-06;null;null;null;null;
2020-03-07;null;null;null;null;
2020-03-08;null;null;null;null;
2020-03-09;null;null;null;null;
2020-03-10;null;null;null;null;
2020-03-11;null;null;null;null;
2020-03-12;null;null;null;null;
2020-03-13;null;null;null;null;
2020-03-14;null;null;null;null;
2020-03-15;null;null;null;null;
2020-03-16;null;null;null;null;
2020-03-17;null;null;null;null;
2020-03-18;null;null;null;null;
2020-03-19;null;null;null;null;
2020-03-20;null;null;null;null;
2020-03-21;null;null;null;null;
2020-03-22;null;null;null;null;
2020-03-23;null;null;null;null;
2020-03-24;null;null;null;null;
2020-03-25;null;null;null;null;
2020-03-26;null;null;null;null;
2020-03-27;null;null;null;null;
2020-03-28;null;null;null;null;
2020-03-29;null;null;null;null;
2020-03-30;null;null;null;null;
2020-03-31;null;null;null;null;
2020-04-01;null;null;null;null;
2020-04-02;null;null;null;null;
2020-04-03;null;null;null;null;
2020-04-04;null;null;null;null;
2020-04-05;null;null;null;null;
2020-04-06;null;null;null;null;
2020-04-07;null;null;null;null;
2020-04-08;null;null;null;null;
2020-04-09;null;null;null;null;
2020-04-10;null;null;null;null;
2020-04-11;null;null;null;null;
2020-04-12;null;null;null;null;
2020-04-13;null;null;null;null;
2020-04-14;null;null;null;null;
2020-04-15;null;null;null;null;
2020-04-16;null;null;null;null;
2020-04-17;null;null;null;null;
2020-04-18;null;null;null;null;
2020-04-19;null;null;null;null;
2020-04-20;null;null;null;null;
2020-04-21;null;null;null;null;
2020-04-22;null;null;null;null;
2020-04-23;null;null;null;null;
2020-04-24;null;null;null;null;
2020-04-25;null;null;null;null;
2020-04-26;null;null;null;null;
2020-04-27;null;null;null;null;
2020-04-28;null;null;null;null;
2020-04-29;null;null;null;null;
2020-04-30;null;null;null;null;
2020-05-01;null;null;null;null;
2020-05-02;null;null;null;null;
2020-05-03;null;null;null;null;
2020-05-04;null;null;null;null;
2020-05-05;null;null;null;null;
2020-05-06;null;null;null;null;
2020-05-07;null;null;null;null;
2020-05-08;null;null;null;null;
2020-05-09;null;null;null;null;
2020-05-10;null;null;null;null;
2020-05-11;null;null;null;null;
2020-05-12;null;null;null;null;
2020-05-13;null;null;null;null;
2020-05-14;null;null;null;null;
2020-05-15;null;null;null;null;
2020-05-16;null;null;null;null;
2020-05-17;null;null;null;null;
2020-05-18;null;null;null;null;
2020-05-19;null;null;null;null;
2020-05-20;null;null;null;null;
2020-05-21;null;null;null;null;
2020-05-22;null;null;null;null;
2020-05-23;null;null;null;null;
2020-05-24;null;null;null;null;
2020-05-25;null;null;null;null;
2020-05-26;null;null;null;null;
2020-05-27;null;null;null;null;
2020-05-28;null;null;null;null;
2020-05-29;null;null;null;null;
2020-05-30;null;null;null;null;
2020-05-31;null;null;null;null;
2020-06-01;null;null;null;null;
2020-06-02;null;null;null;null;
2020-06-03;null;null;null;null;
2020-06-04;null;null;null;null;
2020-06-05;null;null;null;null;
2020-06-06;null;null;null;null;
2020-06-07;null;null;null;null;
2020-06-08;null;null;null;null;
2020-06-09;null;null;null;null;
2020-06-10;null;null;null;null;
2020-06-11;null;null;null;null;
2020-06-12;null;null;null;null;
2020-06-13;null;null;null;null;
2020-06-14;null;null;null;null;
2020-06-15;null;null;null;null;
2020-06-16;null;null;null;null;
2020-06-17;null;null;null;null;
2020-06-18;null;null;null;null;
2020-06-19;null;null;null;null;
2020-06-20;null;null;null;null;
2020-06-21;null;null;null;null;
2020-06-22;null;null;null;null;
2020-06-23;null;null;null;null;
2020-06-24;null;null;null;null;
2020-06-25;null;null;null;null;
2020-06-26;null;null;null;null;
2020-06-27;null;null;null;null;
2020-06-28;null;null;null;null;
2020-06-29;null;null;null;null;
2020-06-30;null;null;null;null;
2020-07-01;null;null;null;null;
2020-07-02;null;null;null;null;
2020-07-03;null;null;null;null;
2020-07-04;null;null;null;null;
2020-07-05;null;null;null;null;
2020-07-06;null;null;null;null;
2020-07-07;null;null;null;null;
2020-07-08;null;null;null;null;
2020-07-09;null;null;null;null;
2020-07-10;null;null;null;null;
2020-07-11;null;null;null;null;
2020-07-12;null;null;null;null;
2020-07-13;null;null;null;null;
2020-07-14;null;null;null;null;
2020-07-15;null;null;null;null;
2020-07-16;null;null;null;null;
2020-07-17;null;null;null;null;
2020-07-18;null;null;null;null;
2020-07-19;null;null;null;null;
2020-07-20;null;null;null;null;
2020-07-21;null;null;null;null;
2020-07-22;null;null;null;null;
2020-07-23;null;null;null;null;
2020-07-24;null;null;null;null;
2020-07-25;null;null;null;null;
2020-07-26;null;null;null;null;
2020-07-27;null;null;null;null;
2020-07-28;null;null;null;null;
2020-07-29;null;null;null;null;
2020-07-30;null;null;null;null;
2020-07-31;null;null;null;null;
2020-08-01;null;null;null;null;
2020-08-02;null;null;null;null;
2020-08-03;null;null;null;null;
2020-08-04;null;null;null;null;
2020-08-05;null;null;null;null;
2020-08-06;null;null;null;null;
2020-08-07;null;null;null;null;
2020-08-08;null;null;null;null;
2020-08-09;null;null;null;null;
2020-08-10;null;null;null;null;
2020-08-11;null;null;null;null;
2020-08-12;null;null;null;null;
2020-08-13;null;null;null;null;
2020-08-14;null;null;null;null;
2020-08-15;null;null;null;null;
2020-08-16;null;null;null;null;
2020-08-17;null;null;null;null;
2020-08-18;null;null;null;null;
2020-08-19;null;null;null;null;
2020-08-20;null;null;null;null;
2020-08-21;null;null;null;null;
2020-08-22;null;null;null;null;
2020-08-23;null;null;null;null;
2020-08-24;null;null;null;null;
2020-08-25;null;null;null;null;
2020-08-26;null;null;null;null;
2020-08-27;null;null;null;null;
2020-08-28;null;null;null;null;
2020-08-29;null;null;null;null;
2020-08-30;null;null;null;null;
2020-08-31;null;null;null;null;
2020-09-01;null;null;null;null;
2020-09-02;null;null;null;null;
2020-09-03;null;null;null;null;
2020-09-04;null;null;null;null;
2020-09-05;null;null;null;null;
2020-09-06;null;null;null;null;
2020-09-07;null;null;null;null;
2020-09-08;null;null;null;null;
2020-09-09;null;null;null;null;
2020-09-10;null;null;null;null;
2020-09-11;null;null;null;null;
2020-09-12;null;null;null;null;
2020-09-13;null;null;null;null;
2020-09-14;null;null;null;null;
2020-09-15;null;null;null;null;
2020-09-16;null;null;null;null;
2020-09-17;null;null;null;null;
2020-09-18;null;null;null;null;
2020-09-19;null;null;null;null;
2020-09-20;null;null;null;null;
2020-09-21;null;null;null;null;
2020-09-22;null;null;null;null;
2020-09-23;null;null;null;null;
2020-09-24;null;null;null;null;
2020-09-25;null;null;null;null;
2020-09-26;null;null;null;null;
2020-09-27;null;null;null;null;
2020-09-28;null;null;null;null;
2020-09-29;null;null;null;null;
2020-09-30;null;null;null;null;
2020-10-01;null;null;null;null;
2020-10-02;null;null;null;null;
2020-10-03;null;null;null;null;
2020-10-04;null;null;null;null;
2020-10-05;null;null;null;null;
2020-10-06;null;null;null;null;
2020-10-07;null;null;null;null;
2020-10-08;null;null;null;null;
2020-10-09;null;null;null;null;
2020-10-10;null;null;null;null;
2020-10-11;null;null;null;null;
2020-10-12;null;null;null;null;
2020-10-13;null;null;null;null;
2020-10-14;null;null;null;null;
2020-10-15;null;null;null;null;
2020-10-16;null;null;null;null;
2020-10-17;null;null;null;null;
2020-10-18;null;null;null;null;
2020-10-19;null;null;null;null;
2020-10-20;null;null;null;null;
2020-10-21;null;null;null;null;
2020-10-22;null;null;null;null;
2020-10-23;null;null;null;null;
2020-10-24;null;null;null;null;
2020-10-25;null;null;null;null;
2020-10-26;null;null;null;null;
2020-10-27;null;null;null;null;
2020-10-28;null;null;null;null;
2020-10-29;null;null;null;null;
2020-10-30;null;null;null;null;
2020-10-31;null;null;null;null;
2020-11-01;null;null;null;null;
2020-11-02;null;null;null;null;
2020-11-03;null;null;null;null;
2020-11-04;null;null;null;null;
2020-11-05;null;null;null;null;
2020-11-06;null;null;null;null;
2020-11-07;null;null;null;null;
2020-11-08;null;null;null;null;
2020-11-09;null;null;null;null;
2020-11-10;null;null;null;null;
2020-11-11;null;null;null;null;
2020-11-12;null;null;null;null;
2020-11-13;null;null;null;null;
2020-11-14;null;null;null;null;
2020-11-15;null;null;null;null;
2020-11-16;null;null;null;null;
2020-11-17;null;null;null;null;
2020-11-18;null;null;null;null;
2020-11-19;null;null;null;null;
2020-11-20;null;null;null;null;
2020-11-21;null;null;null;null;
2020-11-22;null;null;null;null;
2020-11-23;null;null;null;null;
2020-11-24;null;null;null;null;
2020-11-25;null;null;null;null;
2020-11-26;null;null;null;null;
2020-11-27;null;null;null;null;
2020-11-28;null;null;null;null;
2020-11-29;null;null;null;null;
2020-11-30;null;null;null;null;
2020-12-01;null;null;null;null;
2020-12-02;null;null;null;null;
2020-12-03;null;null;null;null;
2020-12-04;null;null;null;null;
2020-12-05;null;null;null;null;
2020-12-06;null;null;null;null;
2020-12-07;null;null;null;null;
2020-12-08;null;null;null;null;
2020-12-09;null;null;null;null;
2020-12-10;null;null;null;null;
2020-12-11;null;null;null;null;
2020-12-12;null;null;null;null;
2020-12-13;null;null;null;null;
2020-12-14;null;null;null;null;
2020-12-15;null;null;null;null;
2020-12-16;null;null;null;null;
2020-12-17;null;null;null;null;
2020-12-18;null;null;null;null;
2020-12-19;null;null;null;null;
2020-12-20;null;null;null;null;
2020-12-21;null;null;null;null;
2020-12-22;null;null;null;null;
2020-12-23;null;null;null;null;
2020-12-24;null;null;null;null;
2020-12-25;null;null;null;null;
2020-12-26;null;null;null;null;
2020-12-27;null;null;null;null;
2020-12-28;null;null;null;null;
2020-12-29;null;null;null;null;
2020-12-30;null;null;null;null;
2020-12-31;null;null;null;null;
2021-01-01;null;null;null;null;
2021-01-02;null;null;null;null;
2021-01-03;null;null;null;null;
2021-01-04;null;null;null;null;
2021-01-05;null;null;null;null;
2021-01-06;null;null;null;null;
2021-01-07;null;null;null;null;
2021-01-08;null;null;null;null;
2021-01-09;null;null;null;null;
2021-01-10;null;null;null;null;
2021-01-11;null;null;null;null;
2021-01-12;null;null;null;null;
2021-01-13;null;null;null;null;
2021-01-14;null;null;null;null;
2021-01-15;null;null;null;null;
2021-01-16;null;null;null;null;
2021-01-17;null;null;null;null;
2021-01-18;null;null;null;null;
2021-01-19;null;null;null;null;
2021-01-20;null;null;null;null;
2021-01-21;null;null;null;null;
2021-01-22;null;null;null;null;
2021-01-23;null;null;null;null;
2021-01-24;null;null;null;null;
2021-01-25;null;null;null;null;
2021-01-26;null;null;null;null;
2021-01-27;null;null;null;null;
2021-01-28;null;null;null;null;
2021-01-29;null;null;null;null;
2021-01-30;null;null;null;null;
2021-01-31;null;null;null;null;
2021-02-01;null;null;null;null;
2021-02-02;null;null;null;null;
2021-02-03;null;null;null;null;
2021-02-04;null;26.3;null;1;
2021-02-05;0;25.8;null;1.2;
2021-02-06;14.4;26.4;null;1;
2021-02-07;0;26;null;.9;
2021-02-08;0;25.6;null;.8;
2021-02-09;0;26;null;.7;
2021-02-10;0;26.7;null;.8;
2021-02-11;9.8;26.3;null;.9;
2021-02-12;53.8;25.1;null;.9;
2021-02-13;1.2;25.9;null;1.1;
2021-02-14;21.4;25;null;1.1;
2021-02-15;2.6;25.1;null;1.2;
2021-02-16;11.4;25.7;null;1.1;
2021-02-17;1.2;25.2;null;1.4;
2021-02-18;.6;26.2;null;1;
2021-02-19;0;27.8;null;1.1;
2021-02-20;0;28;null;1.1;
2021-02-21;0;27.3;null;1.2;
2021-02-22;0;27.9;null;1.4;
2021-02-23;0;28.1;null;.9;
2021-02-24;2.2;27.9;null;.9;
2021-02-25;0;28;null;.9;
2021-02-26;51;26.6;null;1.1;
2021-02-27;12.2;25.6;null;.9;
2021-02-28;22.8;26.8;null;1;
2021-03-01;.2;26.5;null;1.2;
2021-03-02;0;26.4;null;1.6;
2021-03-03;2.2;26.1;null;1.7;
2021-03-04;.8;26.5;null;1.4;
2021-03-05;37.6;23.8;null;.7;
2021-03-06;13.8;25.3;null;.8;
2021-03-07;2.2;25.5;null;.8;
2021-03-08;7.2;25.8;null;1.1;
2021-03-09;0;25.8;null;.6;
2021-03-10;0;26.1;null;.8;
2021-03-11;0;26.9;null;1.3;
2021-03-12;0;26.2;null;1.2;
2021-03-13;0;25.9;null;1;
2021-03-14;35.6;24.9;null;1;
2021-03-15;0;26.5;null;1;
2021-03-16;18.6;26.2;null;1.1;
2021-03-17;8.8;25.2;null;.7;
2021-03-18;55.6;25.5;null;1.1;
2021-03-19;1.6;25.1;null;.9;
2021-03-20;7.2;24.7;null;.9;
2021-03-21;0;26.7;null;.8;
2021-03-22;1.4;25.4;null;.8;
2021-03-23;0;23.6;null;.9;
2021-03-24;6.8;24.6;null;.5;
2021-03-25;.2;26.5;null;.7;
2021-03-26;0;26.2;null;.8;
2021-03-27;0;26.2;null;.7;
2021-03-28;0;26.4;null;1.1;
2021-03-29;0;26.4;null;1;
2021-03-30;0;26.2;null;1.2;
2021-03-31;0;26.3;null;1.1;
2021-04-01;0;26.2;null;.7;
2021-04-02;0;25.5;null;.9;
2021-04-03;0;26.4;null;.7;
2021-04-04;71.6;25.1;null;.9;
2021-04-05;0;26;null;.6;
2021-04-06;0;25.5;null;.9;
2021-04-07;5.4;25.5;null;.8;
2021-04-08;1;25.6;null;.9;
2021-04-09;11;25.6;null;.9;
2021-04-10;34.6;26;null;.8;
2021-04-11;0;26.1;null;.7;
2021-04-12;0;25.9;null;.9;
2021-04-13;0;25.7;null;1.5;
2021-04-14;0;25.2;null;1.1;
2021-04-15;0;24.8;null;.7;
2021-04-16;0;26.2;null;.7;
2021-04-17;0;25.2;null;1;
2021-04-18;0;24.6;null;.7;
2021-04-19;0;25.7;null;.7;
2021-04-20;0;26.3;null;.7;
2021-04-21;0;25.5;null;.7;
2021-04-22;0;24.9;null;.6;
2021-04-23;0;25.5;null;1;
2021-04-24;0;25.5;null;.6;
2021-04-25;39.2;23.3;null;.7;
2021-04-26;1;23.4;null;1.2;
2021-04-27;0;23.7;null;1;
2021-04-28;0;23.4;null;1.3;
2021-04-29;0;22.9;null;1.2;
2021-04-30;0;23;null;.9;
2021-05-01;0;24.7;null;.7;
2021-05-02;0;25.4;null;.9;
2021-05-03;0;25.2;null;.8;
2021-05-04;0;25.5;null;.8;
2021-05-05;0;23.3;null;.7;
2021-05-06;0;18.9;null;1.9;
2021-05-07;0;16.7;null;2.2;
2021-05-08;0;19.4;null;1.5;
2021-05-09;0;21.9;null;.8;
2021-05-10;0;23.6;null;.7;
2021-05-11;0;22.6;null;.7;
2021-05-12;0;21.6;null;1.4;
2021-05-13;0;21;null;1.1;
2021-05-14;0;22.4;null;.8;
2021-05-15;0;23.5;null;.7;
2021-05-16;0;23.7;null;.6;
2021-05-17;0;23.3;null;.5;
2021-05-18;0;23.8;null;.7;
2021-05-19;0;23.3;null;.7;
2021-05-20;0;22.7;null;.9;
2021-05-21;0;24.2;null;1;
2021-05-22;0;25.1;null;.7;
2021-05-23;0;22.5;null;1.3;
2021-05-24;10.4;19.4;null;1.8;
2021-05-25;0;22.7;null;.7;
2021-05-26;0;24.7;null;.7;
2021-05-27;0;24.9;null;.6;
2021-05-28;0;24.6;null;.9;
2021-05-29;0;24.1;null;.7;
2021-05-30;0;23.8;null;.7;
2021-05-31;0;23.3;null;1.2;
2021-06-01;0;23.8;null;.7;
2021-06-02;0;24.5;null;.6;
2021-06-03;0;24.3;null;.7;
2021-06-04;0;23.8;null;.8;
2021-06-05;0;23.4;null;.9;
2021-06-06;0;23.8;null;.6;
2021-06-07;0;23.3;null;.6;
2021-06-08;0;24.3;null;.7;
2021-06-09;0;23.7;null;.8;
2021-06-10;0;24.1;null;.6;
2021-06-11;0;23.5;null;1.7;
2021-06-12;0;22;null;1.3;
2021-06-13;0;22.5;null;.6;
2021-06-14;0;24.1;null;.7;
2021-06-15;0;24.8;null;.9;
2021-06-16;0;23;null;1.1;
2021-06-17;0;22.1;null;1.3;
2021-06-18;0;19.6;null;1.6;
2021-06-19;0;19.8;null;1.3;
2021-06-20;0;20.5;null;1.6;
2021-06-21;0;22.7;null;.7;
2021-06-22;.4;25.5;null;.8;
2021-06-23;0;24.5;null;.8;
2021-06-24;0;23.4;null;1;
2021-06-25;0;23.6;null;.8;
